,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
34,PA0277,177.4614646,-1.415654005,-,hypothetical protein PA0277
35,PA5408,333.3193122,-1.413160827,-,hypothetical protein PA5408
36,EBG00001435451,539.7340780000001,-1.406873865,NaN,NaN
37,PA1547,101.51472840000001,-1.405760774,-,hypothetical protein PA1547
38,PA0015,36.97113846,-1.403970885,-,hypothetical protein PA0015
39,PA0916,195.1897937,-1.402115226,-,ribosomal protein S12 methylthiotransferase RimO
40,EBG00001435484,700.8926069,-1.40188211,NaN,NaN
41,PA3140,866.104598,-1.399856608,-,hypothetical protein PA3140
42,PA2620,416.9275374,-1.399640895,clpA,ATP-binding protease component ClpA
43,PA4565,168.15186469999998,-1.398685164,proB,gamma-glutamyl kinase
44,PA0673,33.05130692,-1.393091883,-,hypothetical protein PA0673
45,PA2805,33.05130692,-1.393091883,-,hypothetical protein PA2805
46,PA2668,356.5710403,-1.383692429,NaN,NaN
47,PA0773,229.6219503,-1.383615698,pdxJ,pyridoxine 5\'-phosphate synthase
48,PA3613,431.5378186000001,-1.383466578,-,hypothetical protein PA3613
49,PA3010,129.7553329,-1.381651693,-,hypothetical protein PA3010
50,PA1561,1918.445738,-1.379064738,aer,aerotaxis receptor Aer
51,PA1414,30.77958636,-1.377218229,-,hypothetical protein PA1414
52,PA4765,610.7364812999999,-1.376993093,omlA,outer membrane lipoprotein OmlA
53,PA0457.1,238.88700669999997,-1.372302654,-,hypothetical protein PA0457.1
54,PA2949,797.7748071000001,-1.372035512,-,lipase
55,PA4603,137.99588789999999,-1.371120608,-,hypothetical protein PA4603
56,PA2024,366.2369885,-1.370644952,-,ring-cleaving dioxygenase
57,PA4046,35.72391934,-1.370605871,-,hypothetical protein PA4046
58,PA1795,346.4151131,-1.369967255,cysS,cysteine--tRNA ligase
59,PA2564,160.8912676,-1.368454627,-,trans-aconitate 2-methyltransferase
60,PA4274,18.61919985,-1.366125536,rplK,50S ribosomal protein L11
61,PA0293,414.7449039,-1.365358465,aguB,N-carbamoylputrescine amidohydrolase
62,PA0315,294.7891498,-1.361330471,-,hypothetical protein PA0315
63,PA5332,1048.154047,-1.360205413,crc,catabolite repression control protein
64,PA2027,55.50125124,-1.352126892,-,hypothetical protein PA2027
65,PA0921,396.52659589999996,-1.351121144,-,hypothetical protein PA0921
66,PA3453,537.8187058,-1.349778395,-,hypothetical protein PA3453
67,PA0436,347.7959628,-1.347227871,-,transcriptional regulator
68,EBG00001435510,2098.446184,-1.346378298,NaN,NaN
69,PA0545,575.4134538,-1.344105793,-,hypothetical protein PA0545
70,PA3395,488.1972018999999,-1.343683465,nosY,membrane protein NosY
71,PA1827,120.84662490000001,-1.34148545,-,short-chain dehydrogenase
72,PA3139.1,24.58803426,-1.338655597,NaN,NaN
73,EBG00001435485,29.53236723,-1.336840681,NaN,NaN
74,PA4348,16.3474793,-1.333126623,-,hypothetical protein PA4348
75,PA2977,117.32768519999999,-1.32715174,murB,UDP-N-acetylenolpyruvoylglucosamine reductase
76,PA1546,713.4538852999999,-1.32659922,hemN,oxygen-independent coproporphyrinogen-III oxidase
77,PA1836,81.24741754,-1.323078234,-,transcriptional regulator
78,PA3104,317.5954425,-1.321132251,xcpP,type II secretion system protein N
79,PA1807,86.19175052,-1.319492197,-,ABC transporter ATP-binding protein
80,PA3309,74.03136401,-1.318625355,-,hypothetical protein PA3309
81,PA4764,28.90875767,-1.315937921,fur,ferric uptake regulation protein
82,PA5033,254.65542000000002,-1.312881195,-,hypothetical protein PA5033
83,PA2043,313.85378510000004,-1.3102749,-,hypothetical protein PA2043
84,PA1557,71.75964345,-1.310160824,ccoN2,cbb3-type cytochrome C oxidase subunit I
85,PA1655,156.4814571,-1.305821763,-,glutathione S-transferase
86,PA2017,143.6974611,-1.305500422,-,hypothetical protein PA2017
87,PA5136,248.86475980000003,-1.305198032,-,hypothetical protein PA5136
88,PA4838,323.74245099999996,-1.304776269,-,hypothetical protein PA4838
89,PA1778,2645.975382,-1.304646636,cobA,uroporphyrin-III C-methyltransferase
90,PA1100,15.72386973,-1.299112502,fliE,flagellar hook-basal body complex protein FliE
91,EBG00001435467,466.9499332,-1.298582654,NaN,NaN
92,EBG00001435519,98.12941932,-1.296297321,NaN,NaN
93,PA0069,524.1438389,-1.295657298,-,hypothetical protein PA0069
94,EBG00001435409,58.97564738,-1.291227601,NaN,NaN
95,PA3458,73.80864631,-1.290423027,-,transcriptional regulator
96,PA0918,217.2833897,-1.289356502,-,cytochrome b561
97,PA0915,153.9870189,-1.289318397,-,hypothetical protein PA0915
98,PA0666,764.0553471,-1.285248626,-,anhydro-N-acetylmuramic acid kinase
99,PA3531,179.33229330000003,-1.279952209,bfrB,bacterioferritin
100,PA0780,60.00014881,-1.279898187,pruR,proline utilization regulator
101,PA0870,336.2591859,-1.279757647,phhC,aromatic amino acid aminotransferase
102,EBG00001435522,449.31069119999995,-1.274558119,NaN,NaN
103,PA0397,1100.4481640000001,-1.273940924,-,cation efflux system protein
104,PA5116,1222.720182,-1.273639879,-,transcriptional regulator
105,EBG00001435447,645.7031605000001,-1.268650756,NaN,NaN
106,PA3835,392.74039500000003,-1.265620739,-,hypothetical protein PA3835
107,PA0128,24.36531655,-1.26552278,-,hypothetical protein PA0128
108,PA0957,710.959447,-1.259702515,-,hypothetical protein PA0957
109,PA0757,859.3785234,-1.257498866,-,two-component sensor
110,PA4938,334.7447055,-1.253909223,purA,adenylosuccinate synthetase
111,PA0914,341.5153236,-1.241353641,-,hypothetical protein PA0914
112,PA2026,335.94738110000003,-1.241255835,-,hypothetical protein PA2026
113,PA3631,650.0684274,-1.237053355,-,hypothetical protein PA3631
114,EBG00001435501,144.8555931,-1.236803947,NaN,NaN
115,PA1690,180.7131431,-1.236752643,pscU,translocation protein in type III secretion
116,PA3033,16.1247616,-1.236387096,-,hypothetical protein PA3033
117,PA4507,494.56692819999995,-1.236200702,-,hypothetical protein PA4507
118,PA0942,337.7736662,-1.230534101,-,transcriptional regulator
119,PA2852,251.80463340000003,-1.229231052,-,hypothetical protein PA2852
120,PA3009,498.0413243,-1.228030197,-,hypothetical protein PA3009
121,PA0835,309.310344,-1.226247627,pta,phosphate acetyltransferase
122,PA2037,444.3663581999999,-1.221372344,-,hypothetical protein PA2037
123,PA4173,18.79737401,-1.220148941,-,hypothetical protein PA4173
124,PA2777,395.6802687,-1.218285597,-,hypothetical protein PA2777
125,EBG00001435479,838.3985159,-1.218231225,NaN,NaN
126,PA3966,47.6170446,-1.218099441,-,hypothetical protein PA3966
127,PA1789,363.9207244,-1.216975371,-,hypothetical protein PA1789
128,PA1806,262.4950831,-1.21605676,fabI,NADH-dependent enoyl-ACP reductase
129,PA2974,17.14926302,-1.210873901,-,hydrolase
130,PA2973,98.88665951,-1.210636327,-,peptidase
131,PA2531,647.2176408,-1.208150516,-,aminotransferase
132,PA0962,48.64154603,-1.206076233,-,DNA-binding stress protein
133,PA0005,187.2610435,-1.205458875,lptA,lysophosphatidic acid acyltransferase
134,PA3715,415.6357747,-1.204159974,-,hypothetical protein PA3715
135,PA2850,540.4467747,-1.202791731,ohr,organic hydroperoxide resistance protein
136,PA0951,865.1246401000001,-1.200746796,-,hypothetical protein PA0951
137,PA0344,172.8289364,-1.198288501,-,hypothetical protein PA0344
138,PA4392,37.72837865,-1.196582194,-,hypothetical protein PA4392
139,PA0784,328.59769689999996,-1.191856043,-,transcriptional regulator
140,PA3621,193.0071602,-1.190629577,fdxA,ferredoxin I
141,PA0542,168.2854953,-1.190051144,-,hypothetical protein PA0542
142,PA3049,675.8145937,-1.189443295,rmf,ribosome modulation factor
143,PA2565,11.18042862,-1.188775219,-,hypothetical protein PA2565
144,PA4794,34.43215667,-1.186918049,-,hypothetical protein PA4794
145,PA4677,358.26369480000005,-1.186384678,-,hypothetical protein PA4677
146,PA2427,13.85304104,-1.184469692,-,hypothetical protein PA2427
147,PA3529,310.6466502,-1.184018359,-,peroxidase
148,PA3560,322.1834271,-1.182408976,fruA,PTS system fructose-specific transporter subunit IIBC
149,PA0948,349.1768126,-1.180308082,-,hypothetical protein PA0948
150,PA3602,609.2665445,-1.178163969,-,hypothetical protein PA3602
151,PA2832,208.6419429,-1.177133496,tpm,thiopurine S-methyltransferase
152,PA2203,99.06483367,-1.175500629,-,amino acid permease
153,PA2849,311.44843389999994,-1.175128848,ohrR,transcriptional regulator
154,PA3571,216.25888819999997,-1.174172223,mmsR,transcriptional regulator MmsR
155,PA0660,160.8467241,-1.17234657,-,hypothetical protein PA0660
156,PA0352,243.65316549999997,-1.171686196,-,transporter
157,PA5346,588.3756241000001,-1.169781394,-,hypothetical protein PA5346
158,PA3305.1,12.20493005,-1.165327589,NaN,NaN
159,PA0304,52.73955174,-1.162005819,spuH,polyamine transporter PotI
160,EBG00001435432,2995.285825,-1.160544994,NaN,NaN
161,PA1968,14.87754247,-1.159990776,-,hypothetical protein PA1968
162,PA3968,792.2959516,-1.159022541,-,pseudouridine synthase
163,PA0919,144.1428965,-1.154458842,-,hypothetical protein PA0919
164,PA3274,276.5708418,-1.150999669,-,hypothetical protein PA3274
165,PA1969,39.15377194,-1.150635576,-,hypothetical protein PA1969
166,PA2764,668.5539966,-1.149345987,-,hypothetical protein PA2764
167,PA1891,118.39673020000001,-1.148287874,-,hypothetical protein PA1891
168,EBG00001435513,2491.453841,-1.148245154,NaN,NaN
169,PA5430,1501.473657,-1.147787801,-,hypothetical protein PA5430
170,PA4659,46.14710777,-1.143670661,-,transcriptional regulator
171,PA0292,4019.564535,-1.142831783,aguA,agmatine deiminase
172,PA4427,371.93856170000004,-1.141967212,sspB,ClpXP protease specificity-enhancing factor
173,PA1172,238.4415713,-1.139783942,napC,cytochrome C protein NapC
174,PA3394,185.9247373,-1.138185549,nosF,copper ABC transporter ATP-binding protein
175,PA0092,35.85754996,-1.137749962,-,hypothetical protein PA0092
176,PA4532,667.0395163,-1.137542448,-,hypothetical protein PA4532
177,PA2942.1,15.90204389,-1.136752813,NaN,NaN
178,PA2965,15.90204389,-1.136752813,fabF1,3-oxoacyl-ACP synthase
179,PA2578,406.94978439999994,-1.135613894,-,acetyltransferase
180,PA4784,552.9189660000001,-1.134668589,-,transcriptional regulator
181,PA3615,1293.945303,-1.131691493,-,hypothetical protein PA3615
182,PA4885,29.88871555,-1.129232042,irlR,two-component response regulator
183,PA1196,67.12711526,-1.126876908,-,transcriptional regulator
184,PA2755,293.8091919,-1.123249932,eco,ecotin
185,PA3128,423.38635070000004,-1.12153089,-,short-chain dehydrogenase
186,PA1749,180.134077,-1.121053883,-,hypothetical protein PA1749
187,PA0427,917.9532788999999,-1.120764692,oprM,outer membrane protein OprM
188,PA1184,106.6372355,-1.120275397,-,transcriptional regulator
189,PA1160,625.6585673,-1.118136834,-,hypothetical protein PA1160
190,PA0847,334.1656395,-1.117527011,-,hypothetical protein PA0847
191,PA3094,815.5031362000001,-1.114048593,-,transcriptional regulator
192,PA5236,1442.453466,-1.112415328,-,"CDP-6-deoxy-delta-3,4-glucoseen reductase"
193,PA0558,342.5843686,-1.108132408,-,hypothetical protein PA0558
194,PA2976,533.4088952999999,-1.10780747,rne,ribonuclease E
195,PA2649,138.5304104,-1.106944512,nuoN,NADH-quinone oxidoreductase subunit N
196,PA4614,207.0829189,-1.10684658,mscL,large-conductance mechanosensitive channel
197,PA3265,84.81090077,-1.106255995,-,transporter
198,PA0557,903.7884331,-1.105826253,-,hypothetical protein PA0557
199,PA4721,739.6900304999999,-1.105009545,-,sugar fermentation stimulation protein A
200,PA1848,403.34175760000005,-1.104412155,-,major facilitator superfamily transporter
201,PA0979,7.884206636,-1.103981341,-,hypothetical protein PA0979
202,PA3452,70.20061954,-1.103765828,mqoA,malate:quinone oxidoreductase
203,PA4558,65.87989613,-1.103221222,-,FkbP-type peptidyl-prolyl cis-trans isomerase
204,EBG00001435458,1363.388682,-1.102393176,NaN,NaN
205,PA2985,178.66414019999996,-1.100712281,-,hypothetical protein PA2985
206,EBG00001435435,8509.82066,-1.099434067,NaN,NaN
207,PA5127,673.4092425,-1.098117916,-,rRNA methylase
208,PA4266,48.59700249,-1.096202765,fusA1,elongation factor G
209,EBG00001435434,20.62365917,-1.090543211,NaN,NaN
210,PA1455,30.28960742,-1.090254875,fliA,flagellar biosynthesis sigma factor FliA
211,PA2596,60.93556316,-1.089357252,-,hypothetical protein PA2596
212,PA1851,350.5576623,-1.087105018,-,hypothetical protein PA1851
213,PA2854,574.7453007,-1.084908758,-,hypothetical protein PA2854
214,EBG00001435482,5032.351011,-1.083542525,NaN,NaN
215,PA2844,308.3303861,-1.08230332,-,hypothetical protein PA2844
216,PA1564,80.26745965,-1.080567938,-,sulfurtransferase TusA
217,PA3162,38.30744467,-1.080054362,rpsA,30S ribosomal protein S1
218,PA4795,50.64600534,-1.077368479,-,hypothetical protein PA4795
219,PA3527,192.82898600000001,-1.07533913,pyrC,dihydroorotase
220,PA0960,33.98672126,-1.073572063,-,hypothetical protein PA0960
221,PA1396,225.34577050000001,-1.07314399,-,two-component sensor
222,PA5055,256.8380535,-1.072351079,-,hypothetical protein PA5055
223,PA4334,424.85628760000003,-1.07082096,-,manganese transporter MntH
224,PA2738,24.32077301,-1.070256499,himA,integration host factor subunit alpha
225,PA4465,90.95790933,-1.069704879,-,hypothetical protein PA4465
226,PA2799,182.94032009999998,-1.068786251,-,hypothetical protein PA2799
227,PA0987,775.5475805,-1.068445689,-,hypothetical protein PA0987
228,PA1063,236.03622009999998,-1.066239423,-,hypothetical protein PA1063
229,PA4118,267.5285032,-1.065870331,-,hypothetical protein PA4118
230,PA3396,565.5693313999999,-1.063855186,nosL,acessory protein NosL
231,PA2948,199.5996042,-1.061958986,cobM,precorrin-4 C(11)-methyltransferase
232,EBG00001435456,1874.035828,-1.059708463,NaN,NaN
233,PA1117,335.858294,-1.058830937,-,hypothetical protein PA1117
234,PA4697,140.5348697,-1.058647471,-,hypothetical protein PA4697
235,PA0833,241.7823369,-1.05751286,-,hypothetical protein PA0833
236,PA0825,77.37212953,-1.0560935,-,hypothetical protein PA0825
237,PA3454,84.36546536,-1.05594753,-,acyl-CoA thiolase
238,PA0561,347.1723532,-1.055538661,-,hypothetical protein PA0561
239,PA1118,132.9179243,-1.055297718,-,hypothetical protein PA1118
240,PA0977,2918.3145879999997,-1.052788223,NaN,NaN
241,PA4119,256.7935099,-1.050894317,aph,aminoglycoside 3-N-acetyltransferase
242,PA2989,573.5426251,-1.050279309,-,hypothetical protein PA2989
243,PA3740,750.0241319,-1.046448336,-,hypothetical protein PA3740
244,PA4405,2562.010809,-1.046087492,-,hypothetical protein PA4405
245,PA1726,731.4494756,-1.044557741,bglX,beta-glucosidase
246,PA2535,322.2279707,-1.042830621,-,oxidoreductase
247,PA1008,266.86035,-1.042475901,bcp,bacterioferritin comigratory protein
248,PA2768,276.5262983,-1.039322132,-,hypothetical protein PA2768
249,PA1892,68.10707315,-1.038084096,-,hypothetical protein PA1892
250,PA1961,311.7156952,-1.037153542,-,transcriptional regulator
251,PA2118,113.764202,-1.034418317,ada,O6-methylguanine-DNA methyltransferase
252,PA4474,844.8127857000001,-1.034234582,-,hypothetical protein PA4474
253,PA5362,438.9320463,-1.033258749,-,hypothetical protein PA5362
254,EBG00001435441,2004.459314,-1.031945835,NaN,NaN
255,PA3257,71.80418699,-1.03055249,prc,tail-specific protease
256,PA1817,710.1131197999999,-1.029696403,-,hypothetical protein PA1817
257,PA3978,1449.7140630000001,-1.029444386,-,hypothetical protein PA3978
258,PA3940,86.81536008,-1.029334281,-,DNA binding protein
259,PA1069,173.0071106,-1.029178971,-,hypothetical protein PA1069
260,PA1226,48.77517665,-1.028455988,-,transcriptional regulator
261,PA0981,30.06688972,-1.026926209,-,hypothetical protein PA0981
262,PA0657,215.5907351,-1.026263051,-,ATPase
263,PA4393,598.9769867000001,-1.025949327,ampG,AmpG protein
264,PA0163,1000.447916,-1.024690901,-,transcriptional regulator
265,EBG00001435420,196.6597305,-1.024588939,NaN,NaN
266,PA5170,80.84652568,-1.021711556,arcD,arginine/ornithine antiporter
267,PA5208,645.9258782,-1.017764678,-,hypothetical protein PA5208
268,PA4253,16.70382762,-1.016318469,rplN,50S ribosomal protein L14
269,EBG00001435531,33.76400356,-1.015923214,NaN,NaN
270,PA4441,31.09139114,-1.01476245,-,hypothetical protein PA4441
271,PA4137,155.5014993,-1.014327422,-,porin
272,PA3572,95.2340892,-1.01138916,-,hypothetical protein PA3572
273,PA3176,174.8333958,-1.011033694,gltS,glutamate/sodium ion symporter GltS
274,PA3465,1193.9895980000001,-1.010596706,-,hypothetical protein PA3465
275,PA4571,2495.685477,-1.010052541,-,cytochrome C
276,PA1625,388.82056339999997,-1.008850748,-,hypothetical protein PA1625
277,PA4548,249.71108700000002,-1.008640901,-,D-amino acid oxidase
278,PA2581,414.344012,-1.008618035,-,hypothetical protein PA2581
279,PA3093,112.9178747,-1.008215374,-,hypothetical protein PA3093
280,PA1849,20.40094147,-1.004883813,-,hypothetical protein PA1849
281,EBG00001435486,5441.973408,-1.003366285,NaN,NaN
282,PA4152,32.11589257,-1.003178098,-,branched-chain alpha-keto acid dehydrogenase subunit E2
283,PA4615,375.0120659,-1.00296305,-,oxidoreductase
284,PA1503,119.287601,-1.001929115,-,hypothetical protein PA1503
285,PA2044,466.81630250000006,-1.001451446,-,hypothetical protein PA2044
286,PA1313,29.44328015,-1.000898835,-,major facilitator superfamily transporter
287,PA4196,169.2654532,-1.000706998,bfiR,protein BfiR
288,PA3718,426.459855,-1.000234491,-,major facilitator superfamily transporter
289,EBG00001435412,6347.098147,-0.999250996,NaN,NaN
290,PA3361,80.62380798,-0.995187043,lecB,fucose-binding lectin PA-IIL
291,PA2954,69.9333583,-0.994698301,-,hypothetical protein PA2954
292,PA3942,801.8282693,-0.994587873,tesB,acyl-CoA thioesterase II
293,PA5034,61.91552104,-0.992915768,hemE,uroporphyrinogen decarboxylase
294,PA1573,293.4973872,-0.992413219,-,hypothetical protein PA1573
295,PA2281,104.6773197,-0.991215215,-,transcriptional regulator
296,PA1890,316.12550560000005,-0.990995063,-,glutathione S-transferase
297,PA4582,39.51012026,-0.987559131,-,hypothetical protein PA4582
298,PA1963,760.1355155,-0.987257275,-,hypothetical protein PA1963
299,PA4045,747.7524113,-0.9849297,-,hypothetical protein PA4045
300,EBG00001435469,6621.887247,-0.98469976,NaN,NaN
301,PA2285,34.16489542,-0.98170199,-,hypothetical protein PA2285
302,PA1036,91.71514952,-0.979824862,-,hypothetical protein PA1036
303,PA0428,338.9317983,-0.979219947,-,ATP-dependent RNA helicase
304,PA4240,12.38310421,-0.977219375,rpsK,30S ribosomal protein S11
305,PA3632,404.14354130000004,-0.974498496,-,hypothetical protein PA3632
306,PA3256,251.4928286,-0.974134042,-,oxidoreductase
307,PA0014,62.31641291,-0.972706676,-,hypothetical protein PA0014
308,EBG00001435443,194.52164059999998,-0.972690984,NaN,NaN
309,PA2496,32.51678443,-0.967600848,-,hypothetical protein PA2496
310,PA4753,1551.540596,-0.966985251,-,hypothetical protein PA4753
311,PA0062,92.11604138,-0.965772911,-,hypothetical protein PA0062
312,PA2392,81.4255917,-0.963503374,pvdP,pyoverdine biosynthesis protein PvdP
313,PA0947,216.3034318,-0.962665784,-,DNA replication initiation factor
314,PA0806,57.99568949,-0.962541792,-,hypothetical protein PA0806
315,PA3370,42.58362454,-0.96176942,-,hypothetical protein PA3370
316,PA1962,502.27296060000003,-0.961753413,azoR2,FMN-dependent NADH-azoreductase
317,PA2594,456.57128830000005,-0.960570324,-,hypothetical protein PA2594
318,PA0665,73.40775445,-0.960144649,-,iron-sulfur cluster insertion protein ErpA
319,PA2848,298.35263310000005,-0.958330956,-,transcriptional regulator
320,PA1070,233.36360770000002,-0.958186491,braG,ABC transporter ATP-binding protein
321,PA2715,52.65046466,-0.95721058,-,ferredoxin
322,PA2774,27.17155959,-0.957063928,-,hypothetical protein PA2774
323,PA0954,741.1599673999999,-0.954565947,-,acylphosphatase
324,PA1624,37.23839971,-0.95322464,-,hypothetical protein PA1624
325,PA4963,112.2497216,-0.950846354,-,hypothetical protein PA4963
326,PA0295,160.35674509999998,-0.950387727,-,polyamine binding protein
327,PA1161,60.04469235,-0.950210705,rrmA,rRNA methyltransferase
328,PA3933,942.4522261,-0.949889613,-,choline transporter
329,PA3089,300.1789182,-0.948121714,-,hypothetical protein PA3089
330,PA0922,1622.409369,-0.948116689,-,hypothetical protein PA0922
331,PA4660,984.0558927000001,-0.947462385,phr,deoxyribodipyrimidine photolyase
332,PA1519,138.3522362,-0.94515095,-,transporter
333,PA1576,99.91116093,-0.944758178,-,3-hydroxyisobutyrate dehydrogenase
334,PA0640,14.43210706,-0.944742219,-,bacteriophage protein
335,PA3351,14.43210706,-0.944742219,flgM,protein FlgM
336,PA4437,756.7502065,-0.944369184,-,hypothetical protein PA4437
337,PA4643,31.89317487,-0.942260861,-,hypothetical protein PA4643
338,PA1290,41.96001498,-0.941614287,-,transcriptional regulator
339,PA3497,21.82633476,-0.941475149,-,hypothetical protein PA3497
340,PA0145,77.50576015,-0.939934685,-,hypothetical protein PA0145
341,PA4766,180.4904254,-0.939746965,-,hypothetical protein PA4766
342,PA0667,483.6537608,-0.939139842,-,hypothetical protein PA0667
343,PA4463,10.73499322,-0.938936941,-,hypothetical protein PA4463
344,PA2595,223.25222409999998,-0.938596863,-,hypothetical protein PA2595
345,PA1599,334.70016200000003,-0.936415741,-,transcriptional regulator
346,PA1227,1885.438975,-0.936288221,-,hypothetical protein PA1227
347,PA3859,144.0983529,-0.936236829,-,carboxylesterase
348,PA3622,318.04087789999994,-0.93605003,rpoS,RNA polymerase sigma factor RpoS
349,PA2790,29.22056245,-0.935421201,-,hypothetical protein PA2790
350,PA1047,259.020687,-0.934658071,-,esterase
351,PA0659,204.944829,-0.933063893,-,hypothetical protein PA0659
352,PA0294,188.9091545,-0.932943781,aguR,transcriptional regulator AguR
353,PA1779,220.98050350000003,-0.932896187,-,assimilatory nitrate reductase
354,PA5534,100.31205279999999,-0.931929016,-,hypothetical protein PA5534
355,PA3292,15.45660849,-0.929896081,-,hypothetical protein PA3292
356,PA4429,15.45660849,-0.929896081,-,cytochrome C1
357,PA4518,15.45660849,-0.929896081,-,hypothetical protein PA4518
358,PA2756,118.39673020000001,-0.929343459,-,hypothetical protein PA2756
359,PA3758,22.85083618,-0.929170543,-,N-acetylglucosamine-6-phosphate deacetylase
360,PA4162,22.85083618,-0.929170543,-,short-chain dehydrogenase
361,PA4531,681.2489056,-0.927652358,-,hypothetical protein PA4531
362,PA1790,240.08968230000002,-0.926968633,-,hypothetical protein PA1790
363,PA2757,44.00901783,-0.926708585,-,hypothetical protein PA2757
364,PA5227,33.94217772,-0.923705949,-,hypothetical protein PA5227
365,PA5227.1,62.49458707,-0.918687847,NaN,NaN
366,PA2580,20.17822376,-0.917681454,-,hypothetical protein PA2580
367,PA2064,407.03887139999995,-0.917633471,pcoB,copper resistance protein B
368,PA1128,23.87533761,-0.917604602,-,transcriptional regulator
369,PA2710,23.87533761,-0.917604602,-,hypothetical protein PA2710
370,PA1169,442.0055506,-0.917261117,-,arachidonate 15-lipoxygenase
371,PA1757,570.8254692,-0.916939651,thrH,phosphoserine phosphatase
372,PA4270,119.8221235,-0.915220632,rpoB,DNA-directed RNA polymerase subunit beta
373,PA2958,1157.642069,-0.914690442,-,hypothetical protein PA2958
374,PA3669,374.1211951,-0.914033092,-,hypothetical protein PA3669
375,PA4378,83.65276872,-0.912701292,inaA,hypothetical protein PA4378
376,PA4524,2597.645641,-0.912490335,nadC,nicotinate-nucleotide pyrophosphorylase
377,PA0790,781.6500455,-0.910936184,-,hypothetical protein PA0790
378,PA1725,70.91331619,-0.910597882,pscL,type III secretion system protein
379,PA0435,100.08933509999999,-0.91023718,-,hypothetical protein PA0435
380,PA5128,147.9736409,-0.910215906,secB,preprotein translocase subunit SecB
381,EBG00001435517,6693.780521,-0.909805594,NaN,NaN
382,PA4256,12.78399607,-0.909478662,rplP,50S ribosomal protein L16
383,PA4272.1,36945.88228,-0.909153745,NaN,NaN
384,PA4041,1924.503659,-0.908972447,-,hypothetical protein PA4041
385,PA5247,91.04699641,-0.908752621,-,hypothetical protein PA5247
386,PA3991,1001.2051560000001,-0.908545882,NaN,NaN
387,PA4637,396.9274878,-0.907415834,-,hypothetical protein PA4637
388,PA5195,287.12766089999997,-0.907346716,-,heat shock protein
389,PA4399,308.5085602,-0.907145094,-,hypothetical protein PA4399
390,EBG00001435416,3649.71952,-0.906361871,NaN,NaN
391,PA1640,352.2948604,-0.904188297,-,hypothetical protein PA1640
392,PA4293,641.1597193,-0.903318364,pprA,two-component sensor PprA
393,PA0458,1199.1121050000002,-0.901234183,-,major facilitator superfamily transporter
394,PA1177,8.062380798,-0.900980388,napE,nitrate reductase protein NapE
395,PA3471,195.6352291,-0.895720341,-,NAD-dependent malic enzyme
396,EBG00001435495,7011.33142,-0.894941918,NaN,NaN
397,PA0971,60.22286651,-0.894333719,tolA,translocation protein TolA
398,PA1606,136.03597209999998,-0.894233235,-,hypothetical protein PA1606
399,PA3528,453.2305227,-0.8934619,rnt,ribonuclease T
400,PA0651,1312.519959,-0.89088508,trpC,indole-3-glycerol phosphate synthase
401,EBG00001435498,3863.751231,-0.890254922,NaN,NaN
